ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,mode,ratio_type,numerator,denominator,ratio,LL95CI,UL95CI,ratio_se,ratio_rse,CA_decile,CA_RR,groupquarters,version
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2004,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1382347017.8827002,155779.22,8873.7574746999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2004,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4115594114.1044788,155779.22,26419.403782500001,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2004,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,328419776293.23645,155779.22,2108238.6745372,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1466115584.2252684,33703029.888059497,43.501002399999997,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4162956678.878015,33703029.888059497,123.5187665,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,327445676035.22925,35992688,9097.5610388999994,NA,NA,NA,NA,,1,827903,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1466115584.2252684,155779.22,9411.4965026999998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4162956678.878015,155779.22,26723.440256499998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,327445676035.22925,155779.22,2101985.5923994998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005-2007,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1549884150.5678365,33772825.310568698,45.891456699999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005-2007,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4210319243.6515517,33772825.310568698,124.6658876,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005-2007,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,329211849318.77368,36267551,9077.3112669999991,NA,NA,NA,NA,,1,831774,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005-2007,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1549884150.5678365,155779.22,9949.2355306999998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005-2007,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4210319243.6515517,155779.22,27027.476730499999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2005-2007,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,329211849318.77368,155779.22,2113323.2617211002,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1549884150.5678363,33772825.310568698,45.891456699999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4210319243.6515517,33772825.310568698,124.6658876,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,329775058433.81891,36257939,9095.2510686000005,NA,NA,NA,NA,,1,832746,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1549884150.5678363,155779.22,9949.2355306999998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4210319243.6515517,155779.22,27027.476730499999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,329775058433.81891,155779.22,2116938.6933239,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006-2010,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1750928709.7899997,33940334.324590899,51.588434399999997,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006-2010,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4323989399.1080389,33940334.324590899,127.3997291,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006-2010,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,327597986779.10425,36798954.399999999,8902.3721494000001,NA,NA,NA,NA,,1,827858,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006-2010,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1750928709.7899997,155779.22,11239.8091979,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006-2010,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4323989399.1080389,155779.22,27757.164268199998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2006-2010,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,327597986779.10425,155779.22,2102963.3270669999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2007,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1633652716.9104044,33842620.733077899,48.272051099999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2007,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4257681808.4250879,33842620.733077899,125.8082771,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2007,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,330414813487.27271,36552026,9039.5759044000006,NA,NA,NA,NA,,1,834673,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2007,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1633652716.9104044,155779.22,10486.9745587,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2007,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4257681808.4250879,155779.22,27331.5132046,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2007,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,330414813487.27271,155779.22,2121045.4994399999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1717421283.2529726,33912416.155587196,50.642846400000003,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4305044373.1986246,33912416.155587196,126.94596439999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,325754696300,36835544,8843.4881346999991,NA,NA,NA,NA,,1,831075,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1717421283.2529726,155779.22,11024.7135867,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4305044373.1986246,155779.22,27635.5496786,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,325754696300,155779.22,2091130.6161374,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008-2010,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1857035560.490586,34028741.8597693,54.572560099999997,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008-2010,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4383981981.1545181,34028741.8597693,128.83173869999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008-2010,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,325933353991.47662,37061602.333333299,8794.3675791000005,NA,NA,NA,NA,,1,823957,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008-2010,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1857035560.490586,155779.22,11920.945299999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008-2010,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4383981981.1545181,155779.22,28142.277135299999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2008-2010,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,325933353991.47662,155779.22,2092277.4808571001,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2009,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1884958415.9381087,34052007.000605702,55.355280999999998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2009,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4399769502.745697,34052007.000605702,129.2073475,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2009,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,324275077550,37095307,8741.6739144000003,NA,NA,NA,NA,,1,821212,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2009,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1884958415.9381087,155779.22,12100.191642600001,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2009,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4399769502.745697,155779.22,28243.622626600001,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2009,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,324275077550,155779.22,2081632.4382032,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2010,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1968726982.2806768,34121802.423114903,57.697039500000002,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2010,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4447132067.5192337,34121802.423114903,130.33110070000001,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2010,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,327770288124.42981,37253956,8798.2679778999991,NA,NA,NA,NA,,1,819584,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2010,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1968726982.2806768,155779.22,12637.930670600001,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2010,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4447132067.5192337,155779.22,28547.659100600002,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2010,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,327770288124.42981,155779.22,2104069.3882304998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06001,Alameda,Alameda,06001,Bay Area,01,Vehicle,Miles Per Capita,14041341866.468067,1467478,9568.3491448999994,NA,NA,NA,NA,,1.0396604,29643,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06001,Alameda,Alameda,06001,Bay Area,01,Vehicle,Miles Per Square Mile,14041341866.468067,739.01700000000005,19000025.5291395,NA,NA,NA,NA,,9.2031939,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,Vehicle,Miles Per Capita,66065321.545141801,1245,53064.5152973,NA,NA,NA,NA,,5.7657881,6,10/09/2014 11:20:00 AM
